Code,Name (en),Name (es),Name (fr),Continent,Preferred languages,HDX Focus Country,Office code,Office name (en),HumanitarianResponse link
CHL,Chile,Chile,Chili,South America,Spanish,n,ROLAC,Regional Office for Latin America and the Caribbean,http://www.salahumanitaria.co/
CHN,China,China,Chine,Asia,Mandarin,n,ROAP,Regional Office for Asia and the Pacific,
COL,Colombia,Colombia,Colombie,South America,Spanish,y,COL,Colombia Country Office,
COM,Comoros,Comoras,Comores,Africa,"French, Arabic",n,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/comoros
COD,"Congo, Democratic Republic of the","Congo, República Democrática del","Congo, République démocratique du",Africa,French,y,DJI,Democratic Republic of the Congo,https://wca.humanitarianresponse.info/fr/locations/r%C3%A9publique-d%C3%A9mocratique-du-congo
COG,"Congo, Republic of the","Congo, República del","Congo, République du",Africa,French,y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/r%C3%A9publique-du-congo
COK,Cook Islands,Islas Cook,Îles Cook,Oceania,"English, Rarotongan",n,ROP,Regional Office for the Pacific,
CRI,Costa Rica,Costa Rica,Costa Rica,North America,Spanish,n,ROLAC,Regional Office for Latin America and the Caribbean,
CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Africa,French,y,CIV,Côte d'Ivoire Country Office,https://wca.humanitarianresponse.info/fr/locations/c%C3%B4te-divoire
CUB,Cuba,Cuba,Cuba,North America,Spanish,n,ROLAC,Regional Office for Latin America and the Caribbean,
DJI,Djibouti,Djibouti,Djibouti,Africa,"French, Arabic",y,DMA,Region of East Africa,https://ea.humanitarianresponse.info/locations/djibouti
DMA,Dominica,Dominica,Dominique,North America,English,n,ROLAC,Regional Office for Latin America and the Caribbean,
DOM,Dominican Republic,República Dominicana,République dominicaine,North America,Spanish,y,ROLAC,Regional Office for Latin America and the Caribbean,
ECU,Ecuador,Ecuador,Équateur,South America,Spanish,n,ROLAC,Regional Office for Latin America and the Caribbean,
EGY,Egypt,Egipto,Egypte,Africa,Arabic,y,ROMENA,Regional Office for the Middle East and North Africa,
SLV,El Salvador,El Salvador,El Salvador,North America,Spanish,n,ROLAC,Regional Office for Latin America and the Caribbean,
ERI,Eritrea,Eritrea,Erythrée,Africa,"Tigrigna, English, Arabic",y,ERI,Eritrea Country Office,https://ea.humanitarianresponse.info/locations/eritrea
ETH,Ethiopia,Etiopía,Ethiopie,Africa,Amharic,y,ETH,Ethiopia Country Office,http://ethiopia.humanitarianresponse.info/
FJI,Fiji,Fiji,Fidji,Oceania,"English, Fijian, Fiji Hindi",n,ROP,Regional Office for the Pacific,
GUB,French Guiana,Guyana francés,Guyane française,South America,French,n,ROLAC,Regional Office for Latin America and the Caribbean,
GMB,Gambia,Gambia,Gambie,Africa,English,y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/gambie
GEO,Georgia,Georgia,Géorgie,Asia,Georgian,n,ROCCA,Regional Office for the Caucasus and Central Asia,
GHA,Ghana,Ghana,Ghana,Africa,English,n,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/ghana
GRD,Grenada,Granada,Grenade,North America,English,n,ROLAC,Regional Office for Latin America and the Caribbean,
GTM,Guatemala,Guatemala,Guatemala,North America,Spanish,y,ROLAC,Regional Office for Latin America and the Caribbean,
GIN,Guinea,Guinea,Guinée,Africa,French,y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/guin%C3%A9e
GNB,Guinea-Bissau,Guinea-Bissau,Guinée-Bissau,Africa,Portuguese,y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/guin%C3%A9e-bissau
GUY,Guyana,Guayana,Guyane,South America,English,n,ROLAC,Regional Office for Latin America and the Caribbean,
HTI,Haiti,Haití,Haïti,North America,French,y,HTI,Haiti Country Office,http://haiti.humanitarianresponse.info/
HND,Honduras,Honduras,Honduras,North America,Spanish,y,ROLAC,Regional Office for Latin America and the Caribbean,
IND,India,India,Inde,Asia,"Hindi, English",n,ROAP,Regional Office for Asia and the Pacific,
IDN,Indonesia,Indonesia,Indonésie,Asia,Indonesian,y,IDN,Indonesia Country Office,https://indonesia.humanitarianresponse.info/
IRN,"Iran, Islamic Republic of",Irán,Iran,Asia,Persian,n,ROMENA,Regional Office for the Middle East and North Africa,
IRQ,Iraq,Irak,Irak,Asia,"Arabic, Kurdish",y,ROMENA,Regional Office for the Middle East and North Africa,
JAM,Jamaica,Jamaica,Jamaïque,North America,English,y,ROLAC,Regional Office for Latin America and the Caribbean,
JPN,Japan,Japón,Japon,Asia,Japanese,n,ROP,Regional Office for the Pacific,
JOR,Jordan,Jordania,Jordanie,Asia,Arabic,y,ROMENA,Regional Office for the Middle East and North Africa,
KAZ,Kazakhstan,Kazajstán,Kazakhstan,Asia,"Kazakh, Russian",n,ROCCA,Regional Office for the Caucasus and Central Asia,
KEN,Kenya,Kenia,Kenya,Africa,"Swahili, English",y,KEN,Kenya Country Office,http://kenya.humanitarianresponse.info/
KIR,Kiribati,Kiribati,Kiribati,Oceania,"English, Kiribati",n,ROP,Regional Office for the Pacific,
PRK,"Korea, Democratic People's Republic of","Corea, República Popular Democrática de","Corée, République populaire démocratique de",Asia,Korean,y,ROAP,Regional Office for Asia and the Pacific,
KOR,"Korea, Republic of","Corea, República de","Corée, République de",Asia,Korean,n,ROAP,Regional Office for Asia and the Pacific,
KWT,Kuwait,Kuwait,Koweit,Asia,Arabic,n,ROMENA,Regional Office for the Middle East and North Africa,
KGZ,Kyrgyzstan,Kirguistán,Kirghizistan,Asia,"Kyrgyz, Russian",y,ROCCA,Regional Office for the Caucasus and Central Asia,
LAO,Laos,Laos,Laos,Asia,Lao,y,ROAP,Regional Office for Asia and the Pacific,
LBN,Lebanon,Líbano,Liban,Asia,Arabic,y,ROMENA,Regional Office for the Middle East and North Africa,
LSO,Lesotho,Lesoto,Lesotho,Africa,"English, Sotho",y,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/lesotho
LBR,Liberia,Liberia,Libéria,Africa,English,y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/liberia
LBY,Libya,Libia,Libye,Africa,Arabic,y,LBY,Libya Country Office,
MDG,Madagascar,Madagascar,Madagascar,Africa,"Malagasy, French",y,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/madagascar
MWI,Malawi,Malawi,Malawi,Africa,English,y,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/malawi
MYS,Malaysia,Malasia,Malaisie,Asia,Malay,n,ROAP,Regional Office for Asia and the Pacific,
MDV,Maldives,Maldivas,Maldives,Asia,Dhivehi,n,ROAP,Regional Office for Asia and the Pacific,
MLI,Mali,Malí,Mali,Africa,French,y,MLI,Mali Country Office,http://mali.humanitarianresponse.info/
MHL,Marshall Islands,Islas Marshall,Îles Marshall,Oceania,"English, Marshallese",n,ROP,Regional Office for the Pacific,
MRT,Mauritania,Mauritania,Mauritanie,Africa,Arabic,y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/mauritanie
MUS,Mauritius,Mauricio,Maurice,Africa,"English, French",n,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/mauritius
MEX,Mexico,México,Mexique,North America,Spanish,n,ROLAC,Regional Office for Latin America and the Caribbean,
FSM,"Micronesia, Federated States of","Micronesia, Los Estados Federados de","Micronésie, États fédérés de",Oceania,English,n,ROP,Regional Office for the Pacific,
MNG,Mongolia,Mongolia,Mongolie,Asia,Mongolian,y,ROAP,Regional Office for Asia and the Pacific,
MAR,Morocco,Marruecos,Maroc,Africa,"Arabic, Berber",n,ROMENA,Regional Office for the Middle East and North Africa,
MOZ,Mozambique,Mozambique,Mozambique,Africa,Portuguese,y,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/mozambique
MMR,Myanmar,Myanmar,Myanmar,Asia,Burmese,y,MMR,Myanmar Country Office,
NAM,Namibia,Namibia,Namibie,Africa,English,y,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/namibia
NRU,Nauru,Nauru,Nauru,Oceania,"English, Nauruan",n,ROP,Regional Office for the Pacific,
NPL,Nepal,Nepal,Népal,Asia,Nepali,y,ROAP,Regional Office for Asia and the Pacific,
NZL,New Zealand,Nueva Zelandia,nouvelle-Zélande,Asia,English,n,ROAP,Regional Office for Asia and the Pacific,
NIC,Nicaragua,Nicaragua,Nicaragua,North America,Spanish,n,ROLAC,Regional Office for Latin America and the Caribbean,
NER,Niger,Níger,Niger,Africa,French,y,NER,Niger Country Office,http://niger.humanitarianresponse.info/
